,GPU,MRP
243,ZEBRONICS NVIDIA ZEB-GT610 2 GB DDR3 Graphics Card,"₹2,049"
244,ASUS NVIDIA Geforce GT 710 2 GB DDR3 Graphics Card,"₹4,557"
245,GIGABYTE NVIDIA GV-N710D3-2GL 2 GB DDR3 Graphics Card,"₹3,999"
246,GEONIX NVIDIA GX GT730 4GB D3 4 GB DDR3 Graphics Card,"₹2,990"
247,GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,"₹6,870"
248,ZOTAC NVIDIA GTX1650AMP 4 GB GDDR6 Graphics Card,"₹13,950"
249,ASUS AMD Radeon PH-RX550-4G-EVO 4 GB GDDR5 Graphics Card,"₹9,999"
250,GEONIX NVIDIA Geonix610 2 GB DDR3 Graphics Card,"₹1,890"
251,Inno3D NVIDIA GEFORCE GTX 1660 Super Twin X2 6 GB GDDR6 Graphics Card,"₹21,599"
252,GIGABYTE NVIDIA GV-N1656WF2OC-4GD 4 GB GDDR6 Graphics Card,"₹14,990"
253,ZOTAC NVIDIA RTX 3060 Twin Edge OC 12 GB GDDR6 Graphics Card,"₹30,000"
254,ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹4,099"
255,amd by Sapphire AMD Radeon Radeon RX 6500 XT 4 GB GDDR6 Graphics Card,"₹17,345"
256,mytechvision AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,999"
257,ZOTAC NVIDIA GAMING GeForce RTX 4070 Twin Edge OC 12 GB GDDR6X Graphics Card,"₹61,848"
258,ZOTAC NVIDIA GeForce GTX 1650 OC 4 GB GDDR6 Graphics Card,"₹13,899"
259,ASRock AMD Radeon RX6600XT PGD 8 GB GDDR6 Graphics Card,"₹39,999"
260,Inno3D NVIDIA GEFORCE GTX 1650 Twin X2 OC 4 GB GDDR6 Graphics Card,"₹17,197"
261,Inno3D NVIDIA GEFORCE RTX 3060 TWIN X2 12 GB GDDR6 Graphics Card,"₹28,809"
262,GIGABYTE NVIDIA GV-N1656WF2OC-4GB 4 GB GDDR6 Graphics Card,"₹13,799"
263,ZOTAC NVIDIA GeForce GT 1030 2 GB DDR5 Graphics Card,"₹7,899"
264,"FRONTECH NVIDIA GT 610 Graphics Card with 64 Bits PCIe 2.0, High Efficiency 2 GB DDR3 Graphics Card","₹1,959"
265,ASRock AMD Radeon RX6600 CLD 8 GB GDDR6 Graphics Card,"₹32,999"
266,ZOTAC NVIDIA GEFORCE RTX 4060 TWIN EDGE OC White Edition 8 GB GDDR6 Graphics Card,"₹33,261"
267,ZOTAC NVIDIA RTX 3060 Twin Edge 12 GB GDDR6 Graphics Card,"₹29,490"
268,GIGABYTE NVIDIA GV-N3050WF2OC-8GD 8 GB GDDR6 Graphics Card,"₹23,890"
269,GIGABYTE AMD Radeon GV-R66XTGAMING OC-8GD 8 GB GDDR6 Graphics Card,"₹48,999"
270,Enter NVIDIA E-GT610-2GD3 PCI Express 2.0 Graphics Card 64 bit 2GB HDMI VGA 2 GB DDR3 Graphics Card,"₹2,299"
271,Inno3D NVIDIA GeForce GTX1050 TI 4 GB GDDR5 Graphics Card,"₹14,999"
272,ZOTAC NVIDIA Geforce GTX 1630 4 GB GDDR6 4 GB GDDR6 Graphics Card,"₹15,000"
273,GIGABYTE NVIDIA GV-n3060WF2OC-12GB 12 GB GDDR6 Graphics Card,"₹28,500"
274,Colorful NVIDIA GTX-1660 6 GB GDDR6 Graphics Card,"₹23,010"
275,sillora AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,799"
276,MSI NVIDIA GeForce RTX 3070 VENTUS 3X PLUS 8G OC LHR 8GB GDDR6 256-bit 8 GB GDDR6 Graphics Card,"₹57,999"
277,nVIDIA NVIDIA RTX 3060 Gaming OC 12GB LHR Graphics Card (rev. 2.0) GV-N3060Gaming OC-12GD 12 GB GDDR6 Graphics Card,"₹35,999"
278,Acer Intel ARC A380 6 GB GDDR6 Graphics Card,"₹11,699"
279,GIGABYTE NVIDIA GV-N308TGAMING OC-12GD 12 GB GDDR6X Graphics Card,"₹1,14,999"
280,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
281,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
282,MSI AMD Radeon Radeon RX 6500 XT MECH 2X 4G OC 4 GB GDDR6 Graphics Card,"₹21,999"
283,ASRock AMD Radeon RX6700XT CLD 12 GB GDDR6 Graphics Card,"₹60,298"
284,"Verilux NVIDIA NVME Adapter PCIe x16 with Gel Pad, M.2 NVME or AHCI SSD to PCIE 3.0 Adapter Card for Key M 2230, 2242, 2260, 2280 Size M.2 SSD, Support PCIe x4 x8 x16 Slot 256 MB GDDR5 Graphics Card",₹599
285,ZOTAC NVIDIA RTX 3050 Twin Edge 8 GB GDDR6 Graphics Card,"₹23,500"
286,MSI NVIDIA GeForce GTX 1050 Ti 4GT OCV1 4 GB GDDR5 Graphics Card,"₹14,999"
287,GIGABYTE AMD Radeon GV-R65XTGAMING OC-4GD 4 GB GDDR6 Graphics Card,"₹25,999"
288,ASUS AMD Radeon Dual RX 6650XT OC 8 GB GDDR6 Graphics Card,"₹39,999"
289,ASRock AMD Radeon RX6700XT PGD 12 GB GDDR6 Graphics Card,"₹59,999"
290,MSI NVIDIA GeForce RTX 3050 VENTUS 2X 8G OC 8 GB GDDR6 Graphics Card,"₹29,434"
291,Inno3D NVIDIA GEFORCE RTX 3080 Ti X3 12 GB GDDR6X Graphics Card,"₹1,29,999"
292,Inno3D NVIDIA GEFORCE RTX 3070 Ti X3 OC 8 GB GDDR6X Graphics Card,"₹79,999"
293,MSI NVIDIA RTX 3090 VENTUS 24 GB GDDR6X Graphics Card,"₹2,04,999"
294,MSI NVIDIA N730K-4GD3 4 GB DDR3 Graphics Card,"₹6,499"
295,Inno3D NVIDIA GEFORCE RTX 3050 TWIN X2 8 GB GDDR6 Graphics Card,"₹24,044"
296,ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,"₹3,957"
297,Inno3D NVIDIA GTX 1050 Ti 4 GB GDDR5 Graphics Card,"₹15,999"
298,GEONIX NVIDIA ?GX GT730 4GB D3 4 GB DDR3 Graphics Card,"₹3,270"
299,MSI NVIDIA GeForce RTX 3080 GAMING Z TRIO 12G LHR 12 GB GDDR6X Graphics Card,"₹1,04,999"
300,MSI NVIDIA GeForce GTX 1660 Super Gaming X 6 GB GDDR5 Graphics Card,"₹30,703"
301,ZOTAC NVIDIA RTX 3060 Ti Twin Edge LHR 8 GB GDDR6 Graphics Card,"₹49,999"
302,MSI AMD Radeon Radeon RX 6400 AERO ITX 4G 4 GB GDDR6 Graphics Card,"₹15,999"
303,GIGABYTE AMD Radeon GV-R68XTGAMING OC-16GD 16 GB GDDR6 Graphics Card,"₹1,04,999"
304,GIGABYTE AMD Radeon GV-R69XTAORUS M-16GD 16 GB GDDR6 Graphics Card,"₹1,49,999"
305,MSI NVIDIA GeForce RTX 3070 VENTUS 3X 8G OC LHR 8 GB GDDR6 Graphics Card,"₹57,999"
306,ZOTAC NVIDIA RTX 3060 AMP White Edition 12 GB GDDR6 Graphics Card,"₹32,609"
307,GALAX NVIDIA GT 730 4 GB DDR3 Graphics Card,"₹6,400"
308,AARVEX NVIDIA GT610 1 GB DDR3 Graphics Card,"₹2,750"
309,ZOTAC NVIDIA RTX 3070 Twin Edge LHR 8 GB GDDR6 Graphics Card,"₹57,999"
310,Inno3D NVIDIA GEFORCE RTX 3060 Ti iChill X3 RED LHR 8 GB GDDR6 Graphics Card,"₹55,319"
311,HASTHIP NVIDIA Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder 1 GB DDR3 Graphics Card,"₹1,499"
312,ZOTAC NVIDIA RTX 3050 Twin Edge OC 8 GB GDDR6 Graphics Card,"₹32,999"
313,Inno3D NVIDIA GeForce RTX 2060 Super Twin X2 OC 8 GB GDDR6 Graphics Card,"₹44,999"
314,MSI NVIDIA GeForce RTX 3080 VENTUS 3X PLUS 12G OC LHR 12 GB GDDR6X Graphics Card,"₹1,17,999"
315,Colorful NVIDIA GT-1050 4 GB DDR5 Graphics Card,"₹19,499"
316,Colorful NVIDIA RTX-3050 8 GB GDDR6 Graphics Card,"₹28,999"
317,ZOTAC NVIDIA RTX 2060 Twin Fan 12 GB GDDR6 Graphics Card,"₹36,999"
318,ASRock AMD Radeon RX6600XT CLD 8 GB GDDR6 Graphics Card,"₹39,999"
319,Inno3D NVIDIA GEFORCE RTX 3070 Ti X3 8 GB GDDR6X Graphics Card,"₹59,999"
320,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
321,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
322,Inno3D NVIDIA GEFORCE RTX 3080 Ti iChill X3 12 GB GDDR6X Graphics Card,"₹1,34,999"
323,GIGABYTE AMD Radeon GV-R65XTEAGLE-4GD 4 GB GDDR6 Graphics Card,"₹23,499"
324,Inno3D NVIDIA GEFORCE RTX 3080 iChill X4 LHR 12 GB GDDR6X Graphics Card,"₹1,18,999"
325,Inno3D NVIDIA GEFORCE RTX 3090 iChill Frostbite 24 GB GDDR6X Graphics Card,"₹2,03,999"
326,MSI NVIDIA RTX 3060 Ti 8 GB GDDR6 Graphics Card,"₹44,999"
327,"amd AMD Radeon Sapphire NITRO+ Radeon™ RX 6600 XT Graphic Card with 8 GB GDDR6, RDNA™ 2 8 GB GDDR6 Graphics Card","₹49,499"
328,amd AMD Radeon RX 6700 XT 12 GB GDDR6 Graphics Card,"₹60,999"
329,Verilux NVIDIA Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder 1 GB DDR3 Graphics Card,"₹1,499"
330,MSI AMD Radeon Radeon RX 6600 MECH 2X 8G 8 GB GDDR6 Graphics Card,"₹34,999"
331,MSI NVIDIA GeForce RTX 2060 VENTUS GP OC 6 GB GDDR6 Graphics Card,"₹32,479"
332,ASRock AMD Radeon RX6500XT PGD 4 GB GDDR6 Graphics Card,"₹20,999"
333,"amd AMD Radeon Sapphire Pulse Radeon™ RX 6800 Graphic Card with 16 GB GDDR6, RDNA™ 16 GB GDDR6 Graphics Card","₹99,999"
334,PowerColor AMD Radeon Fighter 6700XT 12 GB GDDR6 Graphics Card,"₹62,890"
335,"Xsentuals NVIDIA PCIe Riser Adapter Card VER009S / 009S Black & Gold 16x to 1x 60cm USB 3.0 Extension Cable - GPU Riser Adapter - Mining Bitcoin, Ethereum ETH Zcash ZEC Monero XMR 16 GB GDDR4 Graphics Card",₹499
336,GIGABYTE AMD Radeon GV-R69XTGAMING OC-16GD 16 GB GDDR6 Graphics Card,"₹1,39,999"
337,MSI NVIDIA RTX 3070 GAMING 8 GB GDDR6 Graphics Card,"₹59,499"
338,GIGABYTE NVIDIA 1650-1 Fan 4 GB GDDR6 Graphics Card,"₹13,200"
339,MSI NVIDIA GeForce RTX 3080 SUPRIM X 12G LHR 12 GB GDDR6X Graphics Card,"₹1,84,999"
340,Inno3D NVIDIA GEFORCE RTX 3050 Twin X2 OC 8 GB GDDR6 Graphics Card,"₹31,413"
341,amd AMD Radeon RX 6600 8 GB GDDR6 Graphics Card,"₹36,339"
342,Inno3D NVIDIA GEFORCE RTX 3060 TI ITWIN X2 LHR 8 GB GDDR6 Graphics Card,"₹41,499"
343,Colorful NVIDIA RTX-3080 Ti 12 GB GDDR6X Graphics Card,"₹99,999"
344,Inno3D NVIDIA GEFORCE RTX 3060 Twin X2 OC 12 GB GDDR6 Graphics Card,"₹47,999"
345,GEONIX NVIDIA GX GT610 2GB D3 2 GB DDR3 Graphics Card,"₹2,157"
346,Inno3D NVIDIA RTX 3090 TI 24GB X3 OC 24 GB GDDR6X Graphics Card,"₹2,06,999"
347,LipiWorld NVIDIA VER-14Pro V014 Pro PCI-E 1X to 16X Pcie Riser for Bitcoin ETH Coin Mining 16 GB GDDR4 Graphics Card,₹649
348,Dtech NVIDIA NVIDIA GT210 1 GB DDR3 Graphics Card,"₹1,424"
349,ASRock AMD Radeon RX6800XT PGD 16 GB GDDR6 Graphics Card,"₹94,999"
350,ASUS AMD Radeon Dual RX 6500XT OC 4 GB GDDR6 Graphics Card,"₹17,999"
351,MSI NVIDIA GeForce RTX 3080 Ti VENTUS 3X 12G OC 12 GB GDDR6X Graphics Card,"₹1,54,999"
352,MSI NVIDIA GeForce RTX 3050 GAMING X 8G 8 GB GDDR6 Graphics Card,"₹32,999"
353,ASUS NVIDIA ROG-STRIX-RTX3080-O10G-V2 10 GB GDDR6X Graphics Card,"₹79,999"
354,MSI NVIDIA RTX 3090 Ti GAMING X TRIO 24G 24 GB GDDR6X Graphics Card,"₹2,07,999"
355,Inno3D NVIDIA GEFORCE GTX 1630 TWIN X2 OC 4 GB GDDR6 Graphics Card,"₹14,999"
356,MSI NVIDIA GeForce RTX 3080 Ti GAMING X TRIO 12G 12 GB GDDR6X Graphics Card,"₹1,49,999"
357,ZOTAC NVIDIA RTX 3090 Trinity OC 24 GB GDDR6X Graphics Card,"₹1,68,999"
358,HASTHIP Intel PCI-E PCI Express 3.0 X4 to NVME M.2 NVME to NVME SSD PCI-e 3.0 x 4 Host Control 1 GB DDR3 Graphics Card,₹699
359,Verilux Intel M.2 NVME SSD Convert Adapter Card for MacBook Air Pro Retina (Year 2013-2017) 1 GB DDR3 Graphics Card,₹754
360,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
361,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
362,Colorful NVIDIA RTX-3070 Ti 8 GB GDDR6 Graphics Card,"₹64,999"
363,ASUS NVIDIA GeForce GT 730 2GB GDDR5 64-Bit Graphics Card with 4-HDMI ports 2 GB GDDR5 Graphics Card,"₹11,899"
364,MSI AMD Radeon Radeon RX 6600 XT MECH 2X 8G OCV1 8 GB GDDR6 Graphics Card,"₹54,289"
365,ZOTAC NVIDIA RTX 3070 Twin Edge OC White Edition LHR 8 GB GDDR6 Graphics Card,"₹57,999"
366,GALAX NVIDIA NVIDIA GEFORCE GT 710 2GB GDDR3 Graphics Card (Black) 2 GB GDDR3 Graphics Card,"₹3,850"
367,ZEBRONICS NVIDIA ZEBGT730 4 GB GDDR3 Graphics Card,"₹4,149"
368,Sapphire AMD Radeon Radeon RX 6400 4 GB GDDR6 Graphics Card,"₹14,299"
369,Tobo NVIDIA M.2 To USB 3.0 Pcie 1x To 16x Riser Card Switch Transfer Card Adapter USB 3.0 1 GB DDR3 Graphics Card,₹426
370,sillora AMD Radeon AMD 8 GB GDDR5 Graphics Card,"₹10,799"
371,GIGABYTE AMD Radeon GV-R66EAGLE-8GD 8 GB GDDR6 Graphics Card,"₹41,499"
372,Enter NVIDIA E-GT610-2GD3 PCI Express 2.0 Graphics Card 64 bit 2GB HDMI VGA 2 GB DDR3 Graphics Card,"₹2,299"
373,ZOTAC NVIDIA RTX 3080 Ti AMP Holo 12 GB GDDR6X Graphics Card,"₹1,56,999"
374,mytechvision NVIDIA GTX 1050 4 GB GDDR5 Graphics Card,"₹11,999"
375,LipiWorld NVIDIA Pack Of 2 VER011-PRO Riser Card 10 Capacitors PCI-E 1X to 16X 16 GB GDDR4 Graphics Card,"₹1,129"
376,Inno3D NVIDIA GEFORCE RTX 3080 iChill X4 LHR 10 GB GDDR6X Graphics Card,"₹94,849"
377,HASTHIP Intel M.2 NVME SSD Convert Adapter Card for MacBook Air Pro Retina (Year 2013-2017) 1 GB DDR3 Graphics Card,₹754
378,"Tobo NVIDIA VER009S PCIE Riser Express Cable 1X to 16X (Dual-6pin / MOLEX) with Led Graphics Extension Ethereum ETH Mining Powered PCI-E Riser Adapter Card, with 24inches USB 3.0 Cable (VER009S) 2 GB DDR2 Graphics Card",₹499
379,LipiWorld NVIDIA (Pack Of 2) VER-14Pro V014 Pro PCI-E 1X to 16X Pcie Riser Card 16 GB GDDR4 Graphics Card,"₹1,199"
380,ZOTAC NVIDIA RTX 3070 Ti Trinity 8 GB GDDR6X Graphics Card,"₹59,800"
381,GALAX NVIDIA GEFORCE GT 710 2GB 2 GB GDDR3 Graphics Card,"₹4,350"
382,Selito AMD Radeon AMD RADEON 8 GB DDR5 Graphics Card,"₹10,799"
383,Tobo NVIDIA ER010S Plus USB 3.0 PCI-E Riser VER 010S Plus Express 1X to 16X Extender Pcie Riser Adapter Card SATA 6 LED Light 1 GB DDR2 Graphics Card,₹699
384,ZEBRONICS NVIDIA ZEB GT730 4 GB GDDR3 Graphics Card,"₹4,375"
385,microware NVIDIA PCI-E Extender Riser Card USB 3.0 1x to 16x Adapter for BTC Miner 16 GB GDDR4 Graphics Card,₹599
386,Nextar NVIDIA GPU Expansion Card Usb 3.0 PCI-E 1X to 16X Extender Riser Ver 009s Card 16 GB GDDR4 Graphics Card,₹499
387,GIGABYTE NVIDIA GeForce RTX™ 3060 VISION OC 12G 12 GB GDDR6 Graphics Card,"₹88,600"
388,ASUS NVIDIA GeForce Dual GTX 1650 4GB DDR6 GRAPHIC CARD 4 GB GDDR6 Graphics Card,"₹15,999"
389,ZOTAC NVIDIA GeForce GT 730 Zone Edition 4 GB DDR3 Graphics Card,"₹7,950"
390,Selito NVIDIA GTX 1060 3 GB GDDR5 Graphics Card,"₹12,999"
391,Etzin NVIDIA NVIDIA M.2 to PCI-E X16 Slot Adapter Card(EPL-409HS) 1 GB DDR2 Graphics Card,₹443
392,Etzin NVIDIA NVIDIA PCIe x1 to 4 USB Hub PCI-Expres(EPL-750PC) 1 GB DDR2 Graphics Card,"₹2,999"
393,srigs NVIDIA gt730ddr3 4 GB DDR3 Graphics Card,"₹3,999"
394,Xsentuals NVIDIA STC PCIe Riser Adapter VER 008S PCI-E 16x to 1x 60 cm USB 3.0 Extension Cable and 4 Pin 6 PinB-SATA Power -Ethereum Mining ETH 16 GB GDDR4 Graphics Card,₹479
395,ASUS NVIDIA DUAL-RTX3060-O12G 12 GB GDDR6 Graphics Card,"₹85,000"
396,GIGABYTE NVIDIA GeForce RTX™ 2060 D6 6G 6 GB GDDR6 Graphics Card,"₹54,500"
397,"Verilux NVIDIA Cable GPU Riser Adapter-Mining Bitcoin, Ethereum ETH Zcash ZEC Monero 1 GB DDR2 Graphics Card","₹1,307"
398,Nextron NVIDIA GT610 2 GB DDR3 Graphics Card,"₹2,999"
399,ZEB NVIDIA -GT610-1GD3 1 GB DDR3 Graphics Card,"₹2,550"
400,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
401,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
402,ASUS NVIDIA GeForce GT 730 2 GB GDDR5 Graphics Card,"₹4,399"
403,ZEBRONICS NVIDIA ZEB-GT610 2 GB DDR3 Graphics Card,"₹2,049"
404,ASUS NVIDIA Geforce GT 710 2 GB DDR3 Graphics Card,"₹4,557"
405,GIGABYTE NVIDIA GV-N710D3-2GL 2 GB DDR3 Graphics Card,"₹3,999"
406,GEONIX NVIDIA GX GT730 4GB D3 4 GB DDR3 Graphics Card,"₹2,990"
407,GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,"₹6,870"
408,ZOTAC NVIDIA GTX1650AMP 4 GB GDDR6 Graphics Card,"₹13,950"
409,ASUS AMD Radeon PH-RX550-4G-EVO 4 GB GDDR5 Graphics Card,"₹9,999"
410,GEONIX NVIDIA Geonix610 2 GB DDR3 Graphics Card,"₹1,890"
411,Inno3D NVIDIA GEFORCE GTX 1660 Super Twin X2 6 GB GDDR6 Graphics Card,"₹21,599"
412,GIGABYTE NVIDIA GV-N1656WF2OC-4GD 4 GB GDDR6 Graphics Card,"₹14,990"
413,ZOTAC NVIDIA RTX 3060 Twin Edge OC 12 GB GDDR6 Graphics Card,"₹30,000"
414,ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹4,099"
415,amd by Sapphire AMD Radeon Radeon RX 6500 XT 4 GB GDDR6 Graphics Card,"₹17,345"
416,mytechvision AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,999"
417,ZOTAC NVIDIA GAMING GeForce RTX 4070 Twin Edge OC 12 GB GDDR6X Graphics Card,"₹61,848"
418,ZOTAC NVIDIA GeForce GTX 1650 OC 4 GB GDDR6 Graphics Card,"₹13,899"
419,ASRock AMD Radeon RX6600XT PGD 8 GB GDDR6 Graphics Card,"₹39,999"
420,Inno3D NVIDIA GEFORCE GTX 1650 Twin X2 OC 4 GB GDDR6 Graphics Card,"₹17,197"
421,Inno3D NVIDIA GEFORCE RTX 3060 TWIN X2 12 GB GDDR6 Graphics Card,"₹28,809"
422,GIGABYTE NVIDIA GV-N1656WF2OC-4GB 4 GB GDDR6 Graphics Card,"₹13,799"
423,ZOTAC NVIDIA GeForce GT 1030 2 GB DDR5 Graphics Card,"₹7,899"
424,"FRONTECH NVIDIA GT 610 Graphics Card with 64 Bits PCIe 2.0, High Efficiency 2 GB DDR3 Graphics Card","₹1,959"
425,ASRock AMD Radeon RX6600 CLD 8 GB GDDR6 Graphics Card,"₹32,999"
426,ZOTAC NVIDIA GEFORCE RTX 4060 TWIN EDGE OC White Edition 8 GB GDDR6 Graphics Card,"₹33,261"
427,ZOTAC NVIDIA RTX 3060 Twin Edge 12 GB GDDR6 Graphics Card,"₹29,490"
428,GIGABYTE NVIDIA GV-N3050WF2OC-8GD 8 GB GDDR6 Graphics Card,"₹23,890"
429,GIGABYTE AMD Radeon GV-R66XTGAMING OC-8GD 8 GB GDDR6 Graphics Card,"₹48,999"
430,Enter NVIDIA E-GT610-2GD3 PCI Express 2.0 Graphics Card 64 bit 2GB HDMI VGA 2 GB DDR3 Graphics Card,"₹2,299"
431,Inno3D NVIDIA GeForce GTX1050 TI 4 GB GDDR5 Graphics Card,"₹14,999"
432,ZOTAC NVIDIA Geforce GTX 1630 4 GB GDDR6 4 GB GDDR6 Graphics Card,"₹15,000"
433,GIGABYTE NVIDIA GV-n3060WF2OC-12GB 12 GB GDDR6 Graphics Card,"₹28,500"
434,Colorful NVIDIA GTX-1660 6 GB GDDR6 Graphics Card,"₹23,010"
435,sillora AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,799"
436,MSI NVIDIA GeForce RTX 3070 VENTUS 3X PLUS 8G OC LHR 8GB GDDR6 256-bit 8 GB GDDR6 Graphics Card,"₹57,999"
437,nVIDIA NVIDIA RTX 3060 Gaming OC 12GB LHR Graphics Card (rev. 2.0) GV-N3060Gaming OC-12GD 12 GB GDDR6 Graphics Card,"₹35,999"
438,Acer Intel ARC A380 6 GB GDDR6 Graphics Card,"₹11,699"
439,GIGABYTE NVIDIA GV-N308TGAMING OC-12GD 12 GB GDDR6X Graphics Card,"₹1,14,999"
440,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
441,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
442,MSI AMD Radeon Radeon RX 6500 XT MECH 2X 4G OC 4 GB GDDR6 Graphics Card,"₹21,999"
443,ASRock AMD Radeon RX6700XT CLD 12 GB GDDR6 Graphics Card,"₹60,298"
444,"Verilux NVIDIA NVME Adapter PCIe x16 with Gel Pad, M.2 NVME or AHCI SSD to PCIE 3.0 Adapter Card for Key M 2230, 2242, 2260, 2280 Size M.2 SSD, Support PCIe x4 x8 x16 Slot 256 MB GDDR5 Graphics Card",₹599
445,ZOTAC NVIDIA RTX 3050 Twin Edge 8 GB GDDR6 Graphics Card,"₹23,500"
446,MSI NVIDIA GeForce GTX 1050 Ti 4GT OCV1 4 GB GDDR5 Graphics Card,"₹14,999"
447,GIGABYTE AMD Radeon GV-R65XTGAMING OC-4GD 4 GB GDDR6 Graphics Card,"₹25,999"
448,ASUS AMD Radeon Dual RX 6650XT OC 8 GB GDDR6 Graphics Card,"₹39,999"
449,ASRock AMD Radeon RX6700XT PGD 12 GB GDDR6 Graphics Card,"₹59,999"
450,MSI NVIDIA GeForce RTX 3050 VENTUS 2X 8G OC 8 GB GDDR6 Graphics Card,"₹29,434"
451,Inno3D NVIDIA GEFORCE RTX 3080 Ti X3 12 GB GDDR6X Graphics Card,"₹1,29,999"
452,Inno3D NVIDIA GEFORCE RTX 3070 Ti X3 OC 8 GB GDDR6X Graphics Card,"₹79,999"
453,MSI NVIDIA RTX 3090 VENTUS 24 GB GDDR6X Graphics Card,"₹2,04,999"
454,MSI NVIDIA N730K-4GD3 4 GB DDR3 Graphics Card,"₹6,499"
455,Inno3D NVIDIA GEFORCE RTX 3050 TWIN X2 8 GB GDDR6 Graphics Card,"₹24,044"
456,ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,"₹3,957"
457,Inno3D NVIDIA GTX 1050 Ti 4 GB GDDR5 Graphics Card,"₹15,999"
458,GEONIX NVIDIA ?GX GT730 4GB D3 4 GB DDR3 Graphics Card,"₹3,270"
459,MSI NVIDIA GeForce RTX 3080 GAMING Z TRIO 12G LHR 12 GB GDDR6X Graphics Card,"₹1,04,999"
460,MSI NVIDIA GeForce GTX 1660 Super Gaming X 6 GB GDDR5 Graphics Card,"₹30,703"
461,ZOTAC NVIDIA RTX 3060 Ti Twin Edge LHR 8 GB GDDR6 Graphics Card,"₹49,999"
462,MSI AMD Radeon Radeon RX 6400 AERO ITX 4G 4 GB GDDR6 Graphics Card,"₹15,999"
463,GIGABYTE AMD Radeon GV-R68XTGAMING OC-16GD 16 GB GDDR6 Graphics Card,"₹1,04,999"
464,GIGABYTE AMD Radeon GV-R69XTAORUS M-16GD 16 GB GDDR6 Graphics Card,"₹1,49,999"
465,MSI NVIDIA GeForce RTX 3070 VENTUS 3X 8G OC LHR 8 GB GDDR6 Graphics Card,"₹57,999"
466,ZOTAC NVIDIA RTX 3060 AMP White Edition 12 GB GDDR6 Graphics Card,"₹32,609"
467,GALAX NVIDIA GT 730 4 GB DDR3 Graphics Card,"₹6,400"
468,AARVEX NVIDIA GT610 1 GB DDR3 Graphics Card,"₹2,750"
469,ZOTAC NVIDIA RTX 3070 Twin Edge LHR 8 GB GDDR6 Graphics Card,"₹57,999"
470,Inno3D NVIDIA GEFORCE RTX 3060 Ti iChill X3 RED LHR 8 GB GDDR6 Graphics Card,"₹55,319"
471,HASTHIP NVIDIA Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder 1 GB DDR3 Graphics Card,"₹1,499"
472,ZOTAC NVIDIA RTX 3050 Twin Edge OC 8 GB GDDR6 Graphics Card,"₹32,999"
473,Inno3D NVIDIA GeForce RTX 2060 Super Twin X2 OC 8 GB GDDR6 Graphics Card,"₹44,999"
474,MSI NVIDIA GeForce RTX 3080 VENTUS 3X PLUS 12G OC LHR 12 GB GDDR6X Graphics Card,"₹1,17,999"
475,Colorful NVIDIA GT-1050 4 GB DDR5 Graphics Card,"₹19,499"
476,Colorful NVIDIA RTX-3050 8 GB GDDR6 Graphics Card,"₹28,999"
477,ZOTAC NVIDIA RTX 2060 Twin Fan 12 GB GDDR6 Graphics Card,"₹36,999"
478,ASRock AMD Radeon RX6600XT CLD 8 GB GDDR6 Graphics Card,"₹39,999"
479,Inno3D NVIDIA GEFORCE RTX 3070 Ti X3 8 GB GDDR6X Graphics Card,"₹59,999"
