,motherBoard,MRP
85,ZEBRONICS ZEB-H61M2 with PCIE M.2 / NVMe Slot (LGA 1155 Socket) Motherboard,"₹2,299"
86,ZEBRONICS ZEB-H310-NVMe Motherboard,"₹4,999"
87,ZEBRONICS Zeb H110-D4 LGA 1151 Socket Motherboard Motherboard,"₹4,337"
88,ZEB ZEBRONICS H61M2 Motherboard,"₹2,049"
89,EXPERTRONICS Consistent CMB G41-II DDR2 (3 Year Warranty) Motherboard,"₹2,038"
90,ASUS TUF-GAMING-B550M-E Motherboard,"₹13,181"
91,GEONIX Geonix_H61 Motherboard,"₹1,790"
92,ZEBRONICS Zeb H110-D4 Motherboard,"₹3,980"
93,ASUS TUF GAMING X670E PLUS Motherboard,"₹32,952"
94,GIGABYTE B450-Aorus Elite V2 Motherboard,"₹10,043"
95,"Enter E-G41D2 (4SATA, 775LGA, DDR2, 10/100LAN, Intel G41+ICH7 Chipset, 5.1Audio, PCIe) Motherboard","₹1,945"
96,Frontech G41/775 DDR2 Motherboard,"₹1,974"
97,Matrix MXH81 Motherboard,"₹2,591"
98,Ant Value H110MAD4 Motherboard,"₹4,256"
99,MSI PRO B660-A DDR4 Motherboard,"₹24,449"
100,"Enter i3,i5,i7 SUPPORT E-H61 MOTHERBOARD Motherboard","₹2,070"
101,GIGABYTE B450-S2H Motherboard,"₹6,749"
102,ASRock B560 Pro4 Motherboard,"₹9,299"
103,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot (LGA 1150 Socket) Motherboard,"₹2,449"
104,ASRock X570 Phantom Gaming4 Motherboard,"₹14,269"
105,ZEBRONICS Zeb-H61 Motherboard,"₹1,971"
106,ASRock B550 Taichi Motherboard,"₹23,449"
107,ASUS TUF GAMING B660M-PLUS WIFI D4 Motherboard,"₹18,821"
108,ZEBRONICS ZEB-H81 Motherboard,"₹2,478"
109,ASUS Prime H510M-E Motherboard,"₹7,499"
110,ASRock B660 Pro RS Motherboard,"₹11,499"
111,GIGABYTE MBG-B760MAORUSPROAX Motherboard,"₹23,999"
112,MSI MPG X570 GAMING PLUS ATX AM4 Gaming Motherboard,"₹23,699"
113,ASUS ROG STRIX B550-F GAMING WIFI II Motherboard,"₹23,999"
114,ASUS TUF GAMING B660M-PLUS D4 Motherboard,"₹18,999"
115,ASRock Z690 Steel Legend WiFi 6E Motherboard,"₹25,499"
116,MSI MAG B560 TOMAHAWK WIFI Motherboard,"₹20,599"
117,"ZEBRONICS ZEB-H61 LGA 1155 Socket ,128GB SATA 2.5"" SSD Combo Set Motherboard Motherboard","₹3,790"
118,MSI Z590 UNIFY Motherboard,"₹28,844"
119,Cansistant CONSISTENT_H61 Motherboard,"₹1,950"
120,ASRock B450M-HDV Motherboard,"₹5,678"
