,SSD,MRP
30,"ZEBRONICS NVME SSD M.2 2280 FORM FACTOR 128 GB Desktop, Laptop Internal Solid State Drive (SSD) (ZEB-MN13)","₹1,199"
31,"WD Green 480 GB Laptop, Desktop Internal Solid State Drive (SSD) (WDS480G2G0A)","₹2,325"
32,"WD Green SATA 2.5/7mm disque 240 GB Laptop, All in One PC's, Desktop Internal Solid State Drive (SSD) (WDS240G2G0A)","₹1,899"
33,"WESTERN DIGITAL WD Green M.2 240 GB Desktop, Laptop Internal Solid State Drive (SSD) (WDS240G3G0B)","₹1,349"
34,Silicon Power A55 256 GB Laptop Internal Solid State Drive (SSD) (SP256GBSS3A55S25),"₹1,199"
35,Crucial P3 500 GB All in One PC's Internal Solid State Drive (SSD) (P3 PLUS),"₹3,300"
36,ADATA SSD 256 GB Laptop Internal Solid State Drive (SSD) (SU660),"₹1,758"
37,"EVM sata 256 GB Desktop, All in One PC's, Laptop, Network Attached Storage, Servers, Surveillance Systems Internal Solid State Drive (SSD) (256GB SSD 2.5"" INCH SATA)","₹1,220"
38,"EVM NVME PCIE 1 TB Desktop, Laptop, All in One PC's Internal Solid State Drive (SSD) (EVMNV/1TB)","₹3,999"
39,"Crucial BX500 480 GB Laptop, Desktop Internal Solid State Drive (SSD) (CT480BX500SSD1)","₹2,103"
40,"ZEBRONICS ZEB-SD26 256 GB Laptop, Desktop Internal Solid State Drive (SSD) (ZEB-SD26 256 GB Solid State Drive, TLC, SATA II & SATA III Interface)","₹1,099"
41,"WESTERN DIGITAL WD Green SATA 240 GB Desktop, Laptop Internal Solid State Drive (SSD) (WDS240G3G0A)","₹1,349"
42,"Crucial BX500 240 GB Laptop, Desktop Internal Solid State Drive (SSD) (CT240BX500SSD1)","₹1,419"
43,"Crucial BX500 3D NAND 2.5-inch 500 GB Desktop, Laptop Internal Solid State Drive (SSD) (CT500BX500SSD1)","₹2,183"
44,"WESTERN DIGITAL WD Blue NVMe SN570 500 GB Laptop, Desktop Internal Solid State Drive (SSD) (WDS500G3B0C)","₹2,579"
