,Ram,MRP
210,simtronics 1 gb ddr2 800 pc-6400 DDR2 1 GB (Single Channel) PC (Simmtronics 1 Gb Ddr-2 800 Mhz Pc 6400 For Desktop),₹299
211,Sk Hynix HMT41GU6BFR8A DDR3 8 GB (Dual Channel) PC (8GB DDR3 12800U),₹820
212,KINGSTON RAM DDR3 8 GB PC ValueRAM (KVR16N11/8),"₹2,280"
213,Crucial CB4GU2666 DDR4 4 GB (Single Channel) PC (CRUCIALDDR4-2666),₹990
214,simtronics RAM DDR2 2 GB PC SDRAM (800 DESKTOP),₹499
215,Simmtronic U-DIMM 2400MHZ DDR4 8 GB (Single Channel) PC DDR4 DESKTP / PC RAM (Desktop RAM),"₹1,499"
216,GEONIX RAM 1333Mhz DDR3 4 GB (Dual Channel) PC DDR3 (GX4GBDDR3),₹599
217,simtronics 8GB DDR3 1333 Desktop DDR3 8 GB (Single Channel) PC (Simmtronics 8 GB RAM DDR-3 1333 Mhz),"₹1,299"
218,G.Skill Ripjaws DDR4 8 GB (Single Channel) PC SDRAM (F4-3200C16S-8GVKB - 1*8GB 3200 MHz Desktop RAM),"₹6,999"
219,Corsair Vengeance LPX DDR4 4 GB PC (CMK4GX4M1A2400C16 (1 x 4GB) 2400MHz),"₹1,795"
220,TSND TRANSCEND DDR3-1333 U DIMM DDR3 4 GB (Single Channel) PC DDR3 SDRAM Memory (TS512MLK64V3N),"₹1,299"
221,HyperX FURY RGB DDR4 8 GB (Dual Channel) PC (Kingston 8GB RGB DDR4 3000 MHz),"₹3,415"
222,KINGSTON BEAST KF432C16BB/8 DDR4 8 GB (Single Channel) PC SDRAM (FURY),"₹2,290"
223,G.Skill Ripjaws DDR4 16 GB (Single Channel) PC SDRAM (F4-3600C18S-16GVK - 1*16GB 3600 MHz Desktop RAM),"₹10,199"
224,EVM DDR4 DDR4 8 GB (Quad Channel) PC (DDR4 8GB DESKTOP 2666 RAM),"₹1,699"
225,Crucial Memory DDR4 32 GB (Single Channel) PC DRAM (CT32G4DFD8266),"₹12,672"
226,gskill Ripjaws V 3200mhz DDR4 16 GB PC (F4-3200C16S-16GVK),"₹3,290"
227,KINGSTON KVR1333d3n9/4 DDR3 4 GB (Single Channel) PC (KVR16N11N9/4 1333MHz Desktop 1.5v),"₹1,299"
228,Hynix ddr3 DDR3 8 GB (Dual Channel) PC (ddr3),₹810
229,XPG D60G DDR4 16 GB (Dual Channel) PC (SPECTRIX D60G RGB AX4U320016G16A-DT60),"₹13,745"
230,Hynix Hynix Genuine DDR2 2 GB PC  DDR2 2 GB PC (Hynix Genuine DDR2 2 GB PC ),₹380
231,Thermaltake TOUGHRAM XG RGB DDR4 8 GB (Dual Channel) PC (R016D408GX2-3600C18A),"₹10,950"
232,ADATA NA DDR4 4 GB (Single Channel) PC (AD4U2666J4G19-R),"₹2,500"
233,KINGSTON HyperX Fury DDR3 4 GB (Dual Channel) PC (HX316C10F/4),"₹1,199"
234,simtronics Simmtronics DDR2 2 GB PC NA (Desktop RAM 2GB DDR2 667 MHz (PC 5300) with 3 Year Warranty),₹549
235,SAMSUNG OEM DDR3 2 GB (Single Channel) PC (M378TP),₹498
236,Sk Hynix DDR3 DDR3 8 GB PC (8GB DDR3 DESKTOP RAM),₹825
237,KINGSTON ValueRAM 4GB 800MHz DDR2 4 GB PC (KVR800D2N6K2/2G),"₹1,600"
238,KINGSTON HyperX Fury DDR3 8 GB (Dual Channel) PC (HX316C10F/8),"₹2,149"
239,SIMMRTONICS DDR3 4GB 1600 DSKTP DDR3 4 GB (Single Channel) PC (DDR3 4GB 1600 DSKTP),₹699
240,Hynix ddr3 DDR3 8 GB PC (ddr3 DDR3 8 GB (Dual Channel) PC (ddr3)),₹760
241,"Hynix PC3 12800, DESKTOP PC RAM DDR3 4 GB PC DDR3 RAM (HMT351U6CFR8C-PB , DDR3 1600MHZ , 2RX8)",₹425
242,"HyperX NA DDR3 8 GB (Dual Channel) Laptop, PC (Fury 8GB DDR3 1866MHz CL10 DIMM Desktop Memory (HX318C10F/8))","₹1,285"
243,XPG RAM DDR4 16 GB PC DDR4 (GAMIX D30 DDR4 16GB (1x16GB) 3200MHz U-DIMM Desktop Memory - AX4U3200316G16A-SR30),"₹3,290"
244,ADATA XPG GAMMIX D30 DDR4 8 GB (Single Channel) PC DDR4 (XPG GAMMIX D30 8GB 3200MHZ XMP 2 READY),"₹1,975"
245,XPG GAMMIX D30 3200mhz DDR4 8 GB PC SD RAM (AX4U320038G16A-SR30),"₹1,939"
246,Corsair Vengeance LPX DDR4 16 GB PC (1 x 16GB) 3600MHz C18 Desktop RAM (CMK16GX4M1Z3600C18),"₹3,979"
247,Hynix 1600MHZ DDR3 8 GB (Dual Channel) PC (8GB 2Rx8 PC3L-12800U-11-13-F3),₹780
248,Crucial CT DDR4 8 GB (Single Channel) PC DRAM (CT8G4DFRA266),"₹1,490"
249,Corsair Vengeance RGB RS 8 GB 3200MHz C16 Memory (Black) DDR4 8 GB PC SDRAM (CMG8GX4M1E3200C16),"₹2,845"
250,GEONIX RAM DDR3 8 GB (Dual Channel) PC SD RAM (GX 8GB DDR3 1600 MHZ),₹784
251,Corsair Vengeance LPX DDR4 8 GB PC DDR4 SDRAM (CMK8GX4M1E3200C16 (1 x 8GB) 3200MHz),"₹2,195"
252,Simmtronic Desktop RAM U-DIMM DDR3 8 GB (Single Channel) PC 8GB DDR3L Desktop RAM (8GB Desktop RAM),"₹1,049"
253,Crucial 3200Mhz Ballistix Performance Desktop & Gaming Memory (Black) (No RGB) with 10 Years Warranty DDR4 8 GB (Dual Channel) PC DRAM family - Ballistix (BL8G32C16U4B),"₹2,071"
254,Hynix 2 DDR2 2 GB (Dual Channel) PC (HYMD2GB),₹395
255,Corsair Vengeance RGB RS 16 GB 3200MHz C16 Memory (Black) DDR4 16 GB PC SDRAM (CMG16GX4M1E3200C16),"₹4,270"
256,Corsair VENGEANCE LPX DDR4 8 GB PC (8GBx1) 3200MHz CL16 Desktop RAM (CMK8GX4M1E3200C16),"₹1,999"
257,"Hynix DDR3 1333Mhz Desktop RAM DDR3 2 GB (Single Channel) PC (HMT325U6BFR8C-H9 , PC3 10600U)",₹308
258,XPG ADATA SPECTRIX D60G DDR4 RGB 16GB (2x8GB) 3200MHz U-DIMM Desktop Memory DDR4 8 GB (Dual Channel) PC GAMING RGB RAM (AX4U320038G16-DT60),"₹5,490"
259,G.Skill Trident DDR4 32 GB (Dual Channel) PC SDRAM (F4-3600C18D-32GTZN - 2*16GB 3600 MHz Desktop RAM),"₹33,599"
260,GEONIX RAM DDR3 4 GB (Dual Channel) PC (GX 4GB DDR3 1600 MHZ),₹499
261,XPG SPECTRIX DDR4 16 GB (Single Channel) PC (D60G 3200Mhz),"₹4,969"
262,ADATA SPECTRIX D60G DDR4 16 GB (Single Channel) PC SDRAM (16 GB (2x8GB) 3200 MHz AX4U32008G16A-DT60 Desktop RAM),"₹13,999"
263,simtronics PC-6400 DDR2 2 GB (Single Channel) PC (Simmtronics 2 Gb Dddr-2 800 Mhz Pc 6400 For Desktop),₹490
264,Hynix 1600MHz DDR3 8 GB PC (PC3-12800),₹799
265,Crucial Basic DDR4 4 GB (Single Channel) PC SDRAM (Basics Memory Module for Desktop),₹890
266,Corsair Vengeance LPX DDR4 16 GB PC (1 x 16GB) 3200MHz C16 Desktop RAM (CMK16GX4M1E3200C16),"₹3,600"
267,"simtronics 1600MHZ DDR3 8 GB (Single Channel) PC, Server (8GB DDR3 1600MHZ)","₹1,075"
268,G.Skill Ripjaws DDR4 32 GB (Single Channel) PC SDRAM (F4-3600C18S-32GVK - 1*32GB 3600 MHz Desktop RAM),"₹28,699"
269,simtronics 4 GB DDR3 1333 Desktop DDR3 4 GB PC (Simmtronics 4 Gb Ddr-3 Ram 1333 Mhz Pc 10600 For Desktop),₹680
270,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (RG26D408GX2-3600C18A),"₹11,361"
271,Hynix 1333Mhz/10600 DDR3 4 GB PC (HMT351UBFR8C-H9 PC3 10600U),₹460
272,Hynix HYNIX DDR3 4 GB (Dual Channel) PC DRAM (HMT351U6CFR8C-PB NO AA 1311),₹495
273,"Hynix 1600/12800 DDR3 4 GB (Dual Channel) PC DRAM (HMT351U6CFR8C-H9 AA , DDR3 1600MHZ , 2RX8 4GB)",₹445
274,Crucial Memory DDR4 32 GB (Single Channel) PC DRAM (CT2K16G4DFRA266),"₹12,799"
275,Thermaltake TOUGHRAM XG RGB DDR4 8 GB (Dual Channel) PC (RG06D408GX2-3600C18B),"₹10,950"
276,Crucial Basic DDR4 16 GB (Single Channel) PC DDR4 16GB (CB16GU2666 for Desktop),"₹2,600"
277,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (R022D408GX2-3200C16A),"₹10,266"
278,Hynix 6400/667/800 DDR2 2 GB PC DDR2 (2 GB 2RX8 PC2=6400U-66-12),₹375
279,XPG LANCER RGB DDR5 16 GB (Single Channel) PC SDRAM (16 GB 6000 MHz AX5U6000C4016G-CLARBK Desktop RAM),"₹32,999"
280,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (R022D408GX2-3200C16A),"₹10,266"
281,Hynix 6400/667/800 DDR2 2 GB PC DDR2 (2 GB 2RX8 PC2=6400U-66-12),₹375
282,"KINGSTON DDR3 1333Mhz Desktop PC DDR3 8 GB (Dual Channel) PC (KVR1333D3N9/8G, 2Rx8 PC3-10600 CL9 240-Pin uDIMM)","₹2,695"
283,XPG LANCER RGB DDR5 16 GB (Single Channel) PC SDRAM (16 GB 6000 MHz AX5U6000C4016G-CLARBK Desktop RAM),"₹32,999"
284,"Crucial CB4G8266 DDR4 4 GB (Dual Channel) Laptop, PC (4GB DDR4 2666MHZ SODIMM Laptop Memory CB4GS2666)",₹980
285,G.Skill Aegis DDR4 16 GB (Single Channel) PC SDRAM (F4-2666C19S-16GIS - 1*16GB 2666 MHz Desktop RAM),"₹10,399"
286,"Hynix PC3 12800, DESKTOP PC RAM DDR3 4 GB (Dual Channel) PC DDR (HMT451U6AFR8A-PB, DDR3 1600MHZ,2RX8)",₹466
287,Hynix ddr2 DDR2 2 GB (Dual Channel) PC SDRAM (HYMP125U64CP8-Y5),₹395
288,Crucial CT Series DDR3 4 GB (Single Channel) PC DDR3L-1600 (CT51264BD160B),₹890
289,XPG RAM DDR4 8 GB PC DDR4 (Adata GAMIX D30 8GB 3000Mhz DDR4 U-DIMM Desktop RAM),"₹1,975"
290,simtronics Simmtronics DDR3 4 GB (Single Channel) PC (DDR 3 4GB Ram),₹699
291,G.Skill Trident DDR5 32 GB (Dual Channel) PC SDRAM (F5-6000J3636F16GX2-TZ5RK - 2*16GB 6000 MHz Desktop RAM),"₹88,999"
292,simtronics 4 DDR3 4 GB (Dual Channel) PC Dasktop (Simmtronics 4GB 1333MHz DDR3 SDRAM),₹697
293,Hynix 667 MHZ DDR2 2 GB PC DDR2 (Desktop 667),₹395
294,ZEBRONICS DDR4 8GB 2666mhz DDR4 8 GB (Quad Channel) PC (ZEB-DM26G8D4),"₹1,799"
295,Crucial CT Series DDR3 8 GB (Dual Channel) PC DDR3L (CT102464BD160B),"₹1,620"
296,KINGSTON KVR1333D3N9/2G DDR3 2 GB (Single Channel) PC (KVR1333D3N9/2G 1333Mhz 2GB 1.5v Desktop RAM),₹530
297,adtaaa D30 DDR4 8 GB PC (ADATA XPG D30 3200MHZ 8GB),"₹2,345"
298,gskill Ripjaws V 3200mhz DDR4 8 GB PC (F4-3200C16S-8GVKB),"₹1,999"
299,SAMSUNG CF7 DDR2 2 GB (Dual Channel) PC (6400U-666-12-P3),₹599
300,Hynix 667MHZ DDR2 1 GB PC DDR2 (Desktop 667),₹273
301,KINGSTON Value DDR3 4 GB (Single Channel) PC (KVR16N11S8/4 1600MHz Desktop 1.5v),"₹1,700"
302,Corsair VENGEANCE LPX DDR4 16 GB PC (1 x 16GB) 3000MHz C16 Desktop RAM (CMK16GX4M1D3000C16),"₹4,399"
303,Hynix DDR3 DDR3 4 GB PC (4GB 2Rx8 Ram 1600 Mhz - 12800U),₹490
304,"Hynix 1600/12800 DDR3 4 GB PC DRAM (HMT351U6CFR8C-H9 AA 1730 , DDR3 1600MHZ , 2RX8)",₹460
305,consistant DT PC3 1600 8IC DDR3 4 GB (Single Channel) PC (21062023),₹689
306,Hynix PC4-2666V 1RX8 DDR2 8 GB (Single Channel) PC (HMA81GS6JJR8N-VK),"₹1,299"
307,Hynix 10600 DDR3 2 GB PC ddr3 (2GB DDR3),₹320
308,"EVM DDR3 1333 DDR3 8 GB (Dual Channel) PC, Server (8GB DDR3 1333 (DESKTOP RAM))","₹1,249"
309,BRYT Standard DDR3 8 GB (Dual Channel) PC DRAM (RAM DDR3 Long DIMM | 1600MHz | 240 Pins | RAM Memory for PC and Desktop),₹759
310,Hynix Desktop DDR2 2 GB PC (DDR2),₹360
311,BRYT Standard DDR4 16 GB (Dual Channel) PC DRAM (RAM DDR4 Long DIMM | 2666MHz | CL19 | 260 Pins| Non ECC | RAM Memory for Desktop),"₹2,369"
312,simtronics 1333 DDR3 4 GB (Dual Channel) PC DESKTOP RAM 4GB DDR-3 (ram 4gb),₹683
313,simtronics 2 GB DDR3 DDR3 2 GB (Single Channel) PC (Simmtronics 2GB DDR3 1600 Desktop),₹395
314,Hynix ddr3 DDR3 8 GB PC (HMT41GU6AFR8A-PB),₹820
315,EVM DDR3 4 GB (Dual Channel) PC DRAM (EVMT4G1333U86D/ EVMT4G1333U88D),₹849
316,Crucial CT DDR4 8 GB (Dual Channel) PC Unbuffered (DDR4 2400),"₹1,540"
317,Hynix ddr3 DDR3 4 GB PC (H15201504-11),₹464
318,G.Skill Trident DDR4 16 GB (Dual Channel) PC SDRAM (F4-3600C18D-16GTZR - 2*8GB 3600 MHz Desktop RAM),"₹16,799"
319,simtronics Simmtronics 2GB DDR3 1600 Desktop DDR3 2 GB (Dual Channel) PC (Simmtronics 2GB DDR3 1600 Desktop),₹740
320,BRYT Standard DDR4 8 GB (Dual Channel) PC DRAM (RAM DDR4 Long DIMM | 2666MHz | CL19 | 260 Pins| Non ECC | RAM Memory for Desktop),"₹1,339"
321,G.Skill Trident DDR4 32 GB (Dual Channel) PC SDRAM (F4-3600C18D-32GTZR - 2*16GB 3600 MHz Desktop RAM),"₹28,199"
322,BRYT Standard DDR4 4 GB (Dual Channel) PC DRAM (RAM DDR4 Long DIMM | 2666MHz | CL19 | 260 Pins| Non ECC | RAM Memory for Desktop),₹819
323,simtronics 8GB DDR3 8 GB (Single Channel) PC Dasktop (8GB DDR3 Desktop 1600L),"₹1,075"
324,Crucial CT8G4DFS824A(2400MHz) DDR4 8 GB (Single Channel) PC (CT8G4DFS824A),"₹1,639"
325,"SAMSUNG 2400Mhz Desktop RAM DDR4 4 GB (Single Channel) PC (M378A5244CB0-CRC, PC4-19200)","₹1,619"
326,Crucial CT DDR4 16 GB (Single Channel) PC (CT16G4DFRA266),"₹2,690"
327,BRYT Standard DDR3 4 GB (Dual Channel) PC DRAM (RAM DDR3 Long DIMM | 1600MHz | 240 Pins | RAM Memory for PC and Desktop),₹479
328,Crucial BASIC DDR4 4 GB (Dual Channel) PC (CB4GU2666),"₹1,199"
329,HyperX HX432C16FB3/8 DDR4 8 GB (Single Channel) PC (HX432C16FB3/8),"₹2,650"
330,simtronics 1 gb ddr2 800 pc-6400 DDR2 1 GB (Single Channel) PC (Simmtronics 1 Gb Ddr-2 800 Mhz Pc 6400 For Desktop),₹299
331,Sk Hynix HMT41GU6BFR8A DDR3 8 GB (Dual Channel) PC (8GB DDR3 12800U),₹820
332,KINGSTON RAM DDR3 8 GB PC ValueRAM (KVR16N11/8),"₹2,280"
333,Crucial CB4GU2666 DDR4 4 GB (Single Channel) PC (CRUCIALDDR4-2666),₹990
334,simtronics RAM DDR2 2 GB PC SDRAM (800 DESKTOP),₹499
335,Simmtronic U-DIMM 2400MHZ DDR4 8 GB (Single Channel) PC DDR4 DESKTP / PC RAM (Desktop RAM),"₹1,499"
336,GEONIX RAM 1333Mhz DDR3 4 GB (Dual Channel) PC DDR3 (GX4GBDDR3),₹599
337,simtronics 8GB DDR3 1333 Desktop DDR3 8 GB (Single Channel) PC (Simmtronics 8 GB RAM DDR-3 1333 Mhz),"₹1,299"
338,G.Skill Ripjaws DDR4 8 GB (Single Channel) PC SDRAM (F4-3200C16S-8GVKB - 1*8GB 3200 MHz Desktop RAM),"₹6,999"
339,Corsair Vengeance LPX DDR4 4 GB PC (CMK4GX4M1A2400C16 (1 x 4GB) 2400MHz),"₹1,795"
340,TSND TRANSCEND DDR3-1333 U DIMM DDR3 4 GB (Single Channel) PC DDR3 SDRAM Memory (TS512MLK64V3N),"₹1,299"
341,HyperX FURY RGB DDR4 8 GB (Dual Channel) PC (Kingston 8GB RGB DDR4 3000 MHz),"₹3,415"
342,KINGSTON BEAST KF432C16BB/8 DDR4 8 GB (Single Channel) PC SDRAM (FURY),"₹2,290"
343,G.Skill Ripjaws DDR4 16 GB (Single Channel) PC SDRAM (F4-3600C18S-16GVK - 1*16GB 3600 MHz Desktop RAM),"₹10,199"
344,EVM DDR4 DDR4 8 GB (Quad Channel) PC (DDR4 8GB DESKTOP 2666 RAM),"₹1,699"
345,Crucial Memory DDR4 32 GB (Single Channel) PC DRAM (CT32G4DFD8266),"₹12,672"
346,gskill Ripjaws V 3200mhz DDR4 16 GB PC (F4-3200C16S-16GVK),"₹3,290"
347,KINGSTON KVR1333d3n9/4 DDR3 4 GB (Single Channel) PC (KVR16N11N9/4 1333MHz Desktop 1.5v),"₹1,299"
348,Hynix ddr3 DDR3 8 GB (Dual Channel) PC (ddr3),₹810
349,XPG D60G DDR4 16 GB (Dual Channel) PC (SPECTRIX D60G RGB AX4U320016G16A-DT60),"₹13,745"
350,Hynix Hynix Genuine DDR2 2 GB PC  DDR2 2 GB PC (Hynix Genuine DDR2 2 GB PC ),₹380
351,Thermaltake TOUGHRAM XG RGB DDR4 8 GB (Dual Channel) PC (R016D408GX2-3600C18A),"₹10,950"
352,ADATA NA DDR4 4 GB (Single Channel) PC (AD4U2666J4G19-R),"₹2,500"
353,KINGSTON HyperX Fury DDR3 4 GB (Dual Channel) PC (HX316C10F/4),"₹1,199"
354,simtronics Simmtronics DDR2 2 GB PC NA (Desktop RAM 2GB DDR2 667 MHz (PC 5300) with 3 Year Warranty),₹549
355,SAMSUNG OEM DDR3 2 GB (Single Channel) PC (M378TP),₹498
356,Sk Hynix DDR3 DDR3 8 GB PC (8GB DDR3 DESKTOP RAM),₹825
357,KINGSTON ValueRAM 4GB 800MHz DDR2 4 GB PC (KVR800D2N6K2/2G),"₹1,600"
358,KINGSTON HyperX Fury DDR3 8 GB (Dual Channel) PC (HX316C10F/8),"₹2,149"
359,SIMMRTONICS DDR3 4GB 1600 DSKTP DDR3 4 GB (Single Channel) PC (DDR3 4GB 1600 DSKTP),₹699
360,SIMMRTONICS DDR3 4GB 1600 DSKTP DDR3 4 GB (Single Channel) PC (DDR3 4GB 1600 DSKTP),₹699
361,Hynix DESKTOP RAM PC4 -2400T DDR4 8 GB (Single Channel) PC (HMA81GU6AFR8N-UH 288-Pin Dimm Memory Module),"₹1,299"
362,Hynix ddr2 DDR2 1 GB PC (H15201504-5),₹266
363,Crucial Crucial Basic Series 2666 Mhz Desktop Ram with 10 Years Warranty DDR4 4 GB (Dual Channel) PC (CT4G4DFS8266- 4GB DDR4-2666 UDIMM),₹990
364,Crucial UDIMM DDR4 8 GB (Single Channel) PC SD RAM (CT8G4DFRA32A),"₹1,540"
365,D-tron 4GB DDR3 12800(1600Mhz) DDR3 4 GB (Dual Channel) PC Dual Channel Ram (Destop Ram/Long-DIMM (UDIMM) Unbuffered Ram For Standard & Gaming Destop PC),₹649
366,CRUSIAL 3200Mhz Crucial Notebook Memory DDR4 16 GB (Dual Channel) PC (Crucial 3200 DDR4 16 GB (Dual Channel) desktop pc (CT16G4SFRA32A)),"₹2,690"
367,ADATA 3200 DDR4 8 GB PC (DDR4 DESKTOP),"₹2,000"
368,Hynix DDR4 1RX16 PC4-2400MHZ DDR4 4 GB (Single Channel) PC (HMA851U6AFR6N-UH),₹654
369,Simmtronics DESKTOP RAM DDR4 4 GB (Single Channel) PC (3200MHz),"₹1,125"
370,wnd 12800 DDR3 4 GB (Dual Channel) PC (RAM),₹433
371,"HyperX KINGSTON FURY 3000 MHZ DDR4 8 GB (Quad Channel) PC, Mac PC (KF432C16BB/16)","₹3,680"
372,Crucial CT SERIES DDR4 8 GB (Single Channel) PC DRAM (CT8G48FRA266),"₹1,490"
373,Hynix 2666 DDR4 8 GB PC (8GB DDR4 2666 MHz Desktop),"₹1,299"
374,Crucial NA DDR4 16 GB (Single Channel) PC DRAM (CT16G4DFRA32A),"₹2,590"
375,Hynix Genuine DDR3 2 GB PC (Hynix DDR3 2GB PC RAM),₹323
376,Hynix ddr3 DDR3 4 GB (Dual Channel) PC (ddr3),₹433
377,Hynix 10600/1333 DDR3 4 GB PC (HMT351UCFR8C-H9 PC3 10600U),₹460
378,Hynix DDR3 1333 DDR3 2 GB (Dual Channel) PC (HMT125U6BFR8C-H PC3 10600U),₹322
379,Simmtronics 2133 MHZ DDR4 4 GB PC (DESKTOP RAM),"₹1,643"
380,Hynix ddr3 DDR3 4 GB (Dual Channel) PC Desktop Ram (Desktop 4GB DDR3),₹464
381,zione Desktop Ram 4GB DDR4 2400 MHz (ZION ZSPZ PC2400) DDR4 4 GB PC (2400MHz),"₹1,768"
382,Crucial CT-2400 MHz DDR4 4 GB (Single Channel) PC SDRAM (CT4G4DFS824A),₹940
383,simtronics 1333 DDR3 2 GB (Dual Channel) PC (simm tronics ddr3 desktop two gb 1333),₹438
384,Starlite DDR3PC1333S DDR3 2 GB PC (DDR3PC1333S),₹789
385,Crucial DDR4 DDR4 8 GB (Single Channel) PC (8GB DDR4 2666MHZ),"₹1,799"
386,Simmtronics DESKTOP RAM DDR3 8 GB (Single Channel) PC (1333MHz),"₹2,140"
387,simtronics DDR1 DDR 1 GB (Single Channel) PC (Simmtronics 1GB 400 MHz DDR PC 3200 Desktop RAM),₹724
388,Hynix New DDR3 2 GB PC (2GBDDR3),₹323
389,Hynix 800MHZ DDR2 2 GB (Single Channel) PC DDR2 (Desktop 800),₹384
390,adtaaa D50 DDR4 8 GB (Single Channel) PC (D50 3200MHZ),"₹4,000"
391,"Hynix 11280/1600 DDR3 4 GB PC (HMT451U6AFR8C-PB , PC3 12800U)",₹463
392,Crucial CT DDR4 16 GB (Dual Channel) PC Unbuffered (DDR4-2400 UDIMM),"₹3,750"
393,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (R009D408GX2-3600C18B),"₹10,950"
394,"Starlite Gold 4GB DDR3 1600MHZ Desktop RAM , DDR3 4 GB PC (STARLITEGold)",₹928
395,Hynix 12800 DDR3 2 GB (Dual Channel) PC (hynix2gb312800),₹345
396,PremiumAV Desktop DDR 1 GB (Dual Channel) PC (MST-1847),₹599
397,GEONIX Desktop RAM DDR4 8 GB PC (8GB DDR4 2666MHz),"₹1,290"
398,DAICHI DI4GD3 DDR3 4 GB (Dual Channel) PC (DI4GD3 4 GB DDR3 DT PC3 1600 MHz (PC-12800)),₹664
399,GEONIX RAM DDR3 8 GB (Dual Channel) PC 8 GB (8) 1600 MHz DDR3 DIMM (RAM DDR3 SD RAM),₹784
400,Hynix ddr3 DDR3 8 GB PC (ddr3 DDR3 8 GB (Dual Channel) PC (ddr3)),₹760
401,"Hynix PC3 12800, DESKTOP PC RAM DDR3 4 GB PC DDR3 RAM (HMT351U6CFR8C-PB , DDR3 1600MHZ , 2RX8)",₹425
402,"HyperX NA DDR3 8 GB (Dual Channel) Laptop, PC (Fury 8GB DDR3 1866MHz CL10 DIMM Desktop Memory (HX318C10F/8))","₹1,285"
403,XPG RAM DDR4 16 GB PC DDR4 (GAMIX D30 DDR4 16GB (1x16GB) 3200MHz U-DIMM Desktop Memory - AX4U3200316G16A-SR30),"₹3,290"
404,ADATA XPG GAMMIX D30 DDR4 8 GB (Single Channel) PC DDR4 (XPG GAMMIX D30 8GB 3200MHZ XMP 2 READY),"₹1,975"
405,XPG GAMMIX D30 3200mhz DDR4 8 GB PC SD RAM (AX4U320038G16A-SR30),"₹1,939"
406,Corsair Vengeance LPX DDR4 16 GB PC (1 x 16GB) 3600MHz C18 Desktop RAM (CMK16GX4M1Z3600C18),"₹3,979"
407,Hynix 1600MHZ DDR3 8 GB (Dual Channel) PC (8GB 2Rx8 PC3L-12800U-11-13-F3),₹780
408,Crucial CT DDR4 8 GB (Single Channel) PC DRAM (CT8G4DFRA266),"₹1,490"
409,Corsair Vengeance RGB RS 8 GB 3200MHz C16 Memory (Black) DDR4 8 GB PC SDRAM (CMG8GX4M1E3200C16),"₹2,845"
410,GEONIX RAM DDR3 8 GB (Dual Channel) PC SD RAM (GX 8GB DDR3 1600 MHZ),₹784
411,Corsair Vengeance LPX DDR4 8 GB PC DDR4 SDRAM (CMK8GX4M1E3200C16 (1 x 8GB) 3200MHz),"₹2,195"
412,Simmtronic Desktop RAM U-DIMM DDR3 8 GB (Single Channel) PC 8GB DDR3L Desktop RAM (8GB Desktop RAM),"₹1,049"
413,Crucial 3200Mhz Ballistix Performance Desktop & Gaming Memory (Black) (No RGB) with 10 Years Warranty DDR4 8 GB (Dual Channel) PC DRAM family - Ballistix (BL8G32C16U4B),"₹2,071"
414,Hynix 2 DDR2 2 GB (Dual Channel) PC (HYMD2GB),₹395
415,Corsair Vengeance RGB RS 16 GB 3200MHz C16 Memory (Black) DDR4 16 GB PC SDRAM (CMG16GX4M1E3200C16),"₹4,270"
416,Corsair VENGEANCE LPX DDR4 8 GB PC (8GBx1) 3200MHz CL16 Desktop RAM (CMK8GX4M1E3200C16),"₹1,999"
417,"Hynix DDR3 1333Mhz Desktop RAM DDR3 2 GB (Single Channel) PC (HMT325U6BFR8C-H9 , PC3 10600U)",₹308
418,XPG ADATA SPECTRIX D60G DDR4 RGB 16GB (2x8GB) 3200MHz U-DIMM Desktop Memory DDR4 8 GB (Dual Channel) PC GAMING RGB RAM (AX4U320038G16-DT60),"₹5,490"
419,G.Skill Trident DDR4 32 GB (Dual Channel) PC SDRAM (F4-3600C18D-32GTZN - 2*16GB 3600 MHz Desktop RAM),"₹33,599"
420,GEONIX RAM DDR3 4 GB (Dual Channel) PC (GX 4GB DDR3 1600 MHZ),₹499
421,XPG SPECTRIX DDR4 16 GB (Single Channel) PC (D60G 3200Mhz),"₹4,969"
422,ADATA SPECTRIX D60G DDR4 16 GB (Single Channel) PC SDRAM (16 GB (2x8GB) 3200 MHz AX4U32008G16A-DT60 Desktop RAM),"₹13,999"
423,simtronics PC-6400 DDR2 2 GB (Single Channel) PC (Simmtronics 2 Gb Dddr-2 800 Mhz Pc 6400 For Desktop),₹490
424,Hynix 1600MHz DDR3 8 GB PC (PC3-12800),₹799
425,Crucial Basic DDR4 4 GB (Single Channel) PC SDRAM (Basics Memory Module for Desktop),₹890
426,Corsair Vengeance LPX DDR4 16 GB PC (1 x 16GB) 3200MHz C16 Desktop RAM (CMK16GX4M1E3200C16),"₹3,600"
427,"simtronics 1600MHZ DDR3 8 GB (Single Channel) PC, Server (8GB DDR3 1600MHZ)","₹1,075"
428,G.Skill Ripjaws DDR4 32 GB (Single Channel) PC SDRAM (F4-3600C18S-32GVK - 1*32GB 3600 MHz Desktop RAM),"₹28,699"
429,simtronics 4 GB DDR3 1333 Desktop DDR3 4 GB PC (Simmtronics 4 Gb Ddr-3 Ram 1333 Mhz Pc 10600 For Desktop),₹680
430,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (RG26D408GX2-3600C18A),"₹11,361"
