,Ram,MRP
45,XPG GAMMIX D30 3200mhz DDR4 8 GB PC SD RAM (AX4U320038G16A-SR30),"₹1,939"
46,Corsair Vengeance LPX DDR4 16 GB PC (1 x 16GB) 3600MHz C18 Desktop RAM (CMK16GX4M1Z3600C18),"₹3,979"
47,Hynix 1600MHZ DDR3 8 GB (Dual Channel) PC (8GB 2Rx8 PC3L-12800U-11-13-F3),₹780
48,Crucial CT DDR4 8 GB (Single Channel) PC DRAM (CT8G4DFRA266),"₹1,490"
49,Corsair Vengeance RGB RS 8 GB 3200MHz C16 Memory (Black) DDR4 8 GB PC SDRAM (CMG8GX4M1E3200C16),"₹2,845"
50,GEONIX RAM DDR3 8 GB (Dual Channel) PC SD RAM (GX 8GB DDR3 1600 MHZ),₹784
51,Corsair Vengeance LPX DDR4 8 GB PC DDR4 SDRAM (CMK8GX4M1E3200C16 (1 x 8GB) 3200MHz),"₹2,195"
52,Simmtronic Desktop RAM U-DIMM DDR3 8 GB (Single Channel) PC 8GB DDR3L Desktop RAM (8GB Desktop RAM),"₹1,049"
53,Crucial 3200Mhz Ballistix Performance Desktop & Gaming Memory (Black) (No RGB) with 10 Years Warranty DDR4 8 GB (Dual Channel) PC DRAM family - Ballistix (BL8G32C16U4B),"₹2,071"
54,Hynix 2 DDR2 2 GB (Dual Channel) PC (HYMD2GB),₹395
55,Corsair Vengeance RGB RS 16 GB 3200MHz C16 Memory (Black) DDR4 16 GB PC SDRAM (CMG16GX4M1E3200C16),"₹4,270"
56,Corsair VENGEANCE LPX DDR4 8 GB PC (8GBx1) 3200MHz CL16 Desktop RAM (CMK8GX4M1E3200C16),"₹1,999"
57,"Hynix DDR3 1333Mhz Desktop RAM DDR3 2 GB (Single Channel) PC (HMT325U6BFR8C-H9 , PC3 10600U)",₹308
58,XPG ADATA SPECTRIX D60G DDR4 RGB 16GB (2x8GB) 3200MHz U-DIMM Desktop Memory DDR4 8 GB (Dual Channel) PC GAMING RGB RAM (AX4U320038G16-DT60),"₹5,490"
59,G.Skill Trident DDR4 32 GB (Dual Channel) PC SDRAM (F4-3600C18D-32GTZN - 2*16GB 3600 MHz Desktop RAM),"₹33,599"
60,GEONIX RAM DDR3 4 GB (Dual Channel) PC (GX 4GB DDR3 1600 MHZ),₹499
61,XPG SPECTRIX DDR4 16 GB (Single Channel) PC (D60G 3200Mhz),"₹4,969"
62,ADATA SPECTRIX D60G DDR4 16 GB (Single Channel) PC SDRAM (16 GB (2x8GB) 3200 MHz AX4U32008G16A-DT60 Desktop RAM),"₹13,999"
63,simtronics PC-6400 DDR2 2 GB (Single Channel) PC (Simmtronics 2 Gb Dddr-2 800 Mhz Pc 6400 For Desktop),₹490
64,Hynix 1600MHz DDR3 8 GB PC (PC3-12800),₹799
65,Crucial Basic DDR4 4 GB (Single Channel) PC SDRAM (Basics Memory Module for Desktop),₹890
66,Corsair Vengeance LPX DDR4 16 GB PC (1 x 16GB) 3200MHz C16 Desktop RAM (CMK16GX4M1E3200C16),"₹3,600"
67,"simtronics 1600MHZ DDR3 8 GB (Single Channel) PC, Server (8GB DDR3 1600MHZ)","₹1,075"
68,G.Skill Ripjaws DDR4 32 GB (Single Channel) PC SDRAM (F4-3600C18S-32GVK - 1*32GB 3600 MHz Desktop RAM),"₹28,699"
69,simtronics 4 GB DDR3 1333 Desktop DDR3 4 GB PC (Simmtronics 4 Gb Ddr-3 Ram 1333 Mhz Pc 10600 For Desktop),₹680
70,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (RG26D408GX2-3600C18A),"₹11,361"
71,Hynix 1333Mhz/10600 DDR3 4 GB PC (HMT351UBFR8C-H9 PC3 10600U),₹460
72,Hynix HYNIX DDR3 4 GB (Dual Channel) PC DRAM (HMT351U6CFR8C-PB NO AA 1311),₹495
73,"Hynix 1600/12800 DDR3 4 GB (Dual Channel) PC DRAM (HMT351U6CFR8C-H9 AA , DDR3 1600MHZ , 2RX8 4GB)",₹445
74,Crucial Memory DDR4 32 GB (Single Channel) PC DRAM (CT2K16G4DFRA266),"₹12,799"
75,Thermaltake TOUGHRAM XG RGB DDR4 8 GB (Dual Channel) PC (RG06D408GX2-3600C18B),"₹10,950"
76,Crucial Basic DDR4 16 GB (Single Channel) PC DDR4 16GB (CB16GU2666 for Desktop),"₹2,600"
77,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (R022D408GX2-3200C16A),"₹10,266"
78,Hynix 6400/667/800 DDR2 2 GB PC DDR2 (2 GB 2RX8 PC2=6400U-66-12),₹375
79,XPG LANCER RGB DDR5 16 GB (Single Channel) PC SDRAM (16 GB 6000 MHz AX5U6000C4016G-CLARBK Desktop RAM),"₹32,999"
80,Thermaltake TOUGHRAM RGB DDR4 8 GB (Dual Channel) PC (R022D408GX2-3200C16A),"₹10,266"
81,Hynix 6400/667/800 DDR2 2 GB PC DDR2 (2 GB 2RX8 PC2=6400U-66-12),₹375
82,"KINGSTON DDR3 1333Mhz Desktop PC DDR3 8 GB (Dual Channel) PC (KVR1333D3N9/8G, 2Rx8 PC3-10600 CL9 240-Pin uDIMM)","₹2,695"
